id,language,name
1,bo,Hopkins-Examples
2,bo,"Gaeng,Wetzel"
3,bo,Hopkins-TibetanSynonyms2015
4,bo,Hopkins2015
5,bo,Verbinator
6,bo,Berzin-Def
7,bo,dung-dkar-tshig-mdzod-chen-mo-Tib
8,bo,RichardBarron
9,bo,Hopkins-TibetanTenses2015
10,bo,84000Synonyms
11,bo,Hopkins-TibetanDefinitions2015
12,bo,RangjungYeshe
13,bo,JimValby
14,bo,"Hopkins-Divisions,Tib2015"
15,bo,Hopkins-TibetanSynonyms1992
16,bo,Yoghacharabhumi-glossary
17,bo,dag_tshig_gsar_bsgrigs-Tib
18,bo,84000Skt
19,bo,Sera-Textbook-Definitions
20,bo,GatewayToKnowledge
21,bo,CommonTerms-Lin
22,bo,IvesWaldo
23,bo,"Hopkins-others'English2015"
24,bo,ThomasDoctor
25,bo,Hopkins-Divisions2015
26,bo,Hopkins-Comment
27,bo,DanMartin
28,bo,Hopkins-Skt1992
29,bo,"Hopkins-Examples,Tib"
30,bo,Hopkins-Def2015
31,bo,Mahavyutpatti-Skt
32,bo,Hopkins-Synonyms1992
33,bo,Berzin
34,bo,84000Definitions
35,bo,TsepakRigdzin
36,bo,Hackett-Def2015
37,bo,84000Dict
38,bo,ComputerTerms
39,bo,Hopkins-Skt2015
1,en,"Gaeng,Wetzel"
2,en,Hopkins2015
3,en,Berzin-Def
4,en,84000Skt
5,en,GatewayToKnowledge
6,en,CommonTerms-Lin
7,en,ThomasDoctor
8,en,Hopkins-Skt1992
9,en,Mahavyutpatti-Skt
10,en,Berzin
11,en,Hackett-Def2015
12,en,84000Dict
13,en,ComputerTerms
14,en,Hopkins-Skt2015
